"","","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","32468","126693","","3","0","0","1","75","","14","0","","66
1490","5538",""
"","කිලින ොච්චිය","","","","","","","","","","","","","","","","","",""
"උතුරු පලොත","4
fpspnehr;rp","Poonakary","Lightning","2024.10.10","1","5","","","","","","1","","","","","","",""
"tl khfhzk;","Killinochchi","","","","","","","","","","","","","","","","","",""
"Northen","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1","5","","0","0","0","0","1","","0","0","","0
0","0",""
"","","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","1","5","","0","0","0","0","1","","0","0","","0
0","0",""
"","","Dehiovita","Cutting Failur/Flood","2024.10.11","85","288","","","","","","85","","14","","","","",""
"","","Bulathkohupitiya","Cutting Failur","2024.10.10","4","19","","","","","","4","","","","","1
1","7",""
"","කෑගල්ල","Yatiyanthota","High Wind","2024.10.09-11","3","7","","","2","","","3","","","","","","",""
"","5
Nffhiy","","","","","","","","","","","","","","","","","",""
"","Kegalle","Warakapola","High Wind","","3","9","","","","","","3","","1","","","","",""
"","","Kegalla","Tree Fallen","2024.10.11","1","2","","","","","","1","","","","","","",""
"","","Ruwanwella","Flood","","2","13","","","","","","2","","","","","","",""
"","","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","98","338","","0","2","0","0","98","","15","0","","1
1","7",""
