"","Weather Forecast for Main Cities","","","Date :","5-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","A few showers"
"Batticaloa","34","27","85","50","Showers or thundershowers after 2.00p.m"
"Colombo","31","28","85","70","Several spells of showers"
"Galle","30","26","95","80","Several spells of showers"
"Jaffna","34","28","90","65","A few showers"
"Kandy","30","22","95","65","Several spells of showers"
"Nuwara-Eliya","20","15","95","75","Several spells of showers"
"Ratnapura","33","24","95","74","Several spells of showers"
"Trincomalee","36","26","85","50","Showers or thundershowers after 2.00p.m"
"Mannar","32","28","85","75","A few showers"
