"","Weather Forecast for Main Cities","","","Date :","11-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","60","Several spells of light showers"
"Batticaloa","32","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","95","65","Showers or thundershowers at times"
"Galle","30","26","95","75","Showers or thundershowers at times"
"Jaffna","33","26","90","65","A few showers"
"Kandy","29","22","95","65","Showers or thundershowers at times"
"Nuwara-Eliya","20","15","95","75","Showers or thundershowers at times"
"Ratnapura","29","25","95","70","Showers or thundershowers at times"
"Trincomalee","33","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","33","27","90","60","Several spells of light showers"
