"","ප්‍රධාන්‍  න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය","","","දින්‍ය :     2024-01-22",""
"","","උෂ්ණත්වය(සස. අංශක)","සාසේක්ෂ ආර්ද්‍රතාවය(%)","",""
"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","31","24","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","30","25","90","75","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"හකාළඹ","31","24","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ොල්ල","29","24","90","80","සවස 4.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"යාපනය","30","24","80","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","30","21","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"නුවරඑළිය","21","13","95","70","සවස 4.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"රත්නපුරය","32","22","90","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"ිකුණාමලය","30","24","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මන්නාරම","30","25","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
