"","Weather Forecast for Main Cities","","","","22-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","85","70","Mainly fair"
"Batticaloa","30","25","90","75","Mainly fair"
"Colombo","31","24","85","70","Mainly fair"
"Galle","29","24","90","80","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","30","24","80","65","Mainly fair"
"Kandy","30","21","85","70","Mainly fair"
"Nuwara-Eliya","21","13","95","70","Showers or thundershowers are likely after 4.00p.m"
"Ratnapura","32","22","90","70","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","30","24","85","70","Mainly fair"
"Mannar","30","25","85","70","Mainly fair"
