"","","","Nattandiya","High Wind","2024.06.03-06","46","167","","","","","24","","","","",""
"","","පුත්තලම","","","","","","","","","","","","","","",""
"","10","","Wennappuwa","Flood","2024.06.03","8","28","","","","","","","","","",""
"","","Gj;jsk;  Puttalam","","","","","","","","","","","","","","",""
"","","","Mahawewa","Flood","2024.06.06","1","2","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","55","197","0","0","0","0","25","0","0","0","0","0"
"","","","Bingiriya","High Wind","2024.05.31","1","6","","","","","","1","","","",""
"","","","","High Wind","2024.05.31","1","1","","","","","1","","","","",""
"","","","Paduwasnuwara West","","","","","","","","","","","","","",""
"","","","","High Wind","2024.06.01-02","3","10","","","","","3","","","","",""
"","","","Wariyapola","High Wind","2024.06.02","1","3","","","","","1","","","","",""
"වයඹ පලොත","","","","","","","","","","","","","","","","",""
"","","","","High Wind","2024.06.02","101","384","","","","","98","3","","","",""
"tlNky; khfhzk","","","Kuliyapitiya East","","","","","","","","","","","","","",""
"","","කුරුණෑගල","","","","","","","","","","","","","","",""
"","","","","Flood","2024.06.02","4","20","","","","","1","","","","",""
"North Western","","","","","","","","","","","","","","","","",""
"","11","FUdhfy;","","","","","","","","","","","","","","",""
"","","","Kobeigane","Lightning","2024.06.02","1","4","","","","","1","","","","",""
"","","Kurunegala","","","","","","","","","","","","","","",""
"","","","Pannala","High Wind","2024.05.31","1","3","","","","","1","","","","",""
"","","","Paduwasnuwara East","High Wind","2024.06.02","1","2","","","","","1","","","","",""
"","","","","High Wind","2024.06.02","14","48","","","","","14","1","","","",""
"","","","Udubaddawa","","","","","","","","","","","","","",""
"","","","","Flood","2024.06.02","","","","","","","","1","","","",""
"","","","Narammala","High Wind","2024.06.02","5","18","","","","","5","1","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","133","499","0","0","0","0","126","7","0","0","0","0"
"","","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","188","696","0","0","0","0","151","7","0","0","0","0"
"","","","Gaga Ihala Koralaya","","2024.06.02","1","2","","","","","1","","","","",""
"","","","Pasbage","","2024.06.03","1","5","","","","","1","","","","",""
"","12","","","","","","","","","","","","","","","",""
"","","නුවර","Akurana","","2024.06.05","1","5","","","","","1","","","","",""
"","","fz;b","","Heavy Rain","","","","","","","","","","","","",""
"මධ්‍යම පලොත","","","Udapalatha","","2024.06.03","1","2","","","","","1","","","","",""
"","","Kandy","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","",""
"","","","Hataraliyadda","","2024.06.02","1","4","","","","","1","","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","","","Panvila","","2024.05.29","2","7","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","7","25","0","0","0","0","7","0","0","0","0","0"
"","","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","7","25","0","0","0","0","7","0","0","0","0","0"
"","","","Megahakiula","High Wind","2024.06.04","1","3","","","","","1","","","","",""
"","","බදුල්ල","","","","","","","","","","","","","","",""
"","14","","Haputale","High Wind","2024.06.01","2","9","","","","","2","","","","",""
"ඌව","","gJs;is  Badulla","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","Haliela","Heavy Rain","2024.06.02","1","4","","","","","1","","","","",""
"Uva","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","4","16","0","0","0","0","4","0","0","0","0","0"
"","","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","4","16","0","0","0","0","4","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","32296","121176","24","7","1","77","5678","1048","76","19","147","513"
"","","","","","","","","ආපදො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
