"","Weather Forecast for Main Cities","","","","13-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","23","90","40","Mainly fair"
"Batticaloa","31","25","85","65","Mainly fair"
"Colombo","31","26","85","65","Mainly fair"
"Galle","31","26","85","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","24","85","50","Mainly fair"
"Kandy","32","21","90","45","Mainly fair"
"Nuwara-Eliya","23","13","90","45","Mainly fair"
"Ratnapura","36","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","27","90","60","Mainly fair"
"Mannar","31","25","85","50","Mainly fair"
