"දිසරික්කය 
ගම්පහ","ප්‍රා.ලේ.සාංඛ්‍යාව 
13","ආපදාව","බලපෑමට ලක්ූ පවුේ","37865","153535","මිය යෑම්","තුවාලූ පුද්ගලයන් 
1","අතුරුදහන්","පූර්ණ නිවාස හානි 
3","අර්ධ නිවාස හානි 
126","ආරක්‍ෂිත සරථාන සාංඛ්‍යාව 
17","පවුේ සාංඛ්‍යාව","1008","පුද්ගල සාංඛ්‍යාව   
4337","83 
340"
"රත්තනපුර","07","","","852","3249","3","1","","3","441","7","","53","","183 
529 
2131"
"ලකාළඹ","09","ගංවතුර / තද","","11023","45977","","","","","22","31","","2395","10685",""
"පුත්තතලම","14","වර්ෂාපතනය /","","3433","12506","1","","1","","30","","","","",""
"කළුතර","12","දැඩි සුළං /","","766","2960","1","","","2","46","10","","45","","161"
"නුවරඑළිය","01","නාය යාම්","","67","290","","","","","","1","","10","","44"
"කෑගේල","11","","","110","475","5","","","3","49","3","","17","","89"
"මහනුවර","04","","","10","35","","","","","10","","","","",""
