"ඌෙ","","","","","","","","","",""
"","Badulla","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","",""
"Uva","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","70","240","0","6","0","3","37"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","70","240","0","6","0","3","37"
"","Godakawela","High Wind","2023.04.10/13/14","3","9","","","","","3"
"","Ebilipitiya","High Wind","2023.04.13/14","12","39","","","","","12"
"","රත්නපුර","","","","","","","","",""
"","Kalawana","High Wind","2023.04.16","6","22","","","","","6"
"2",",uj;jpdGhp","","","","","","","","",""
"සබරෙමුෙ පලාත","","","","","","","","","",""
"","Kiriella
Rathnapura","High Wind","2023.04.18","1","4","","","","","1"
"rg;ufKt","","","","","","","","","",""
"Sabaragamuwa","Elapatha","Heavy Rain","2023.04.16","1","3","","","","","1"
"","Godakawela","High Wind","2023.04.18","1","5","","","","","1"
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","24","82","0","0","0","0","24"
