"","Weather Forecast for Main Cities","","","","29-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","55","Mainly fair"
"Batticaloa","31","25","90","70","A few showers"
"Colombo","33","25","85","50","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","25","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","33","24","90","75","Mainly fair"
"Kandy","33","21","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","13","95","65","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","25","90","60","A few showers"
"Mannar","33","25","90","70","Mainly fair"
