"","Weather Forecast for Main Cities","","","","10-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","40","Mainly fair"
"Batticaloa","32","27","90","65","Several spells of showers"
"Colombo","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","36","25","95","60","Mainly fair"
"Kandy","34","21","95","50","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","24","13","85","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","37","24","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","35","26","95","65","Mainly fair"
"Mannar","34","27","90","65","Showers or thundershowers are likely after 2.00p.m"
