"","","","Families","People","","","","","Partially","சேதங்கள்; Small,","","Damages to","","f   No.","s;","","Persons"
"","Division","","","","","","","Fully","","","","","","","","",""
"","","","","","","","","","","Medium,","","critical","","of Safety","Families","",""
"","","","","","","","","","","Enterprises","","Infrastructure","","Locations","","",""
"","","","","","","","","","","Damages","","","","","","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","","","",""
"","1
Muthur
High Wind
jp.kiy","2023.05.10","1","2","","","","","1","","","","","","","",""
"නැගගනහිර පලාත","Trincomalee","","","","","","","","","","","","","","","",""
"fpof;F      Eastern","","","","","","","","","","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","1","2","0","0","0","0","1","","0","","0","0","","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","2","0","0","0","0","1","","0","","0","0","","0","0"
"","Godakawela
High Wind","2023.05.11","1","4","","","","","1","","","","","","","",""
"","Lightning","2023.05.11","3","10","","","","","3","","","","","","","",""
"","Eheliyagoda","","","","","","","","","","","","","","","",""
"","Heavy Rain","2023.05.11","8","33","","","","","5","","","","","","","",""
"","Kolonna
High Wind","2023.05.11","1","2","","","","","1","","","","","","","",""
"","රත්නපුර","","","","","","","","","","","","","","","",""
"","Kiriella
High Wind
2
,uj;jpdGhp","2023.05.10","2","9","","","","","2","","","","","","","",""
"","Lightning
Rathnapura","2023.05.10","1","2","","","","","1","","","","","","","",""
"","High Wind","2023.05.10","1","1","","","","","1","","","","","","","",""
"සබරගමුව පලාත","Kalawana
Lightning","2023.05.10","2","6","","","","","2","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"","High wind","2023.05.10","1","1","","","","","1","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","",""
"","Cutting Failure","2023.05.10","1","4","","","","","1","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","21","72","0","0","0","0","18","","0","","0","0","","0","0"
"","Dehiovita
Tree Fallen","2023.05.11","1","5","","","","","1","","","","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","","","",""
"","3
Nffhiy          
Ruwanwella
Tree Fallen","2023.05.11","1","4","","","","","1","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","",""
"","Yatiyanthota
Wind","2023.05.11","1","5","","","","","1","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","3","14","0","0","0","0","3","","0","","0","0","","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","24","86","0","0","0","0","21","","0","","0","0","","0","0"
"","පුත්තලම","","","","","","","","","","","","","","","",""
"","3
Wanathavilluwa
Flash Flood
Gj;jsk;","2023.05.10","6","21","","","","","","","","","","","","",""
"","Puttalam","","","","","","","","","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","6","21","0","0","0","0","0","","0","","0","0","","0","0"
"වයඹ පලාත","","","","","","","","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","","","","",""
"","කුරුණෑගල","","","","","","","","","","","","","","","",""
"North Western","","","","","","","","","","","","","","","","",""
"","4
Galgamuwa
High Wind
FUdhfy;","2023.05.10","1","4","","","","","1","","","","","","","",""
"","Kurunegala","","","","","","","","","","","","","","","",""
