"","Weather Forecast for Main Cities","","","","5-Dec-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","25","95","80","A few showers"
"Batticaloa","31","25","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","26","95","70","Several spells of showers"
"Galle","30","25","95","80","Several spells of showers"
"Jaffna","31","25","95","80","Several spells of showers"
"Kandy","30","22","95","75","A few showers"
"Nuwara-Eliya","21","14","95","80","Several spells of showers"
"Ratnapura","31","23","95","70","Showers or thundershowers"
"Trincomalee","31","26","95","80","Showers or thundershowers after 2.00p.m"
"Mannar","31","26","95","80","Several spells of showers"
