"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","31","25","95","80","වැසි ස්වල්පයක්"
"මඩකලපුව","31","25","95","70","සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"හකාළඹ","31","26","95","70","වැසි වාර කිහිපයක්"
"ගාල්ල","30","25","95","80","වැසි වාර කිහිපයක්"
"යාපනය","31","25","95","80","වැසි වාර කිහිපයක්"
"මහනුවර","30","22","95","75","වැසි ස්වල්පයක්"
"නුවරඑළිය","21","14","95","80","වැසි වාර කිහිපයක්"
"රත්නපුරය","31","23","95","70","වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ත්‍රිකුණාමලය","31","26","95","80","සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මන්නාරම","31","26","95","80","වැසි වාර කිහිපයක්"
