"","Lightning","2025.02.26","","","1","","","","","","","","",""
"Siyambalanduwa","","","","","","","","","","","","","",""
"","High wind","2025.03.04","1","3","","","","","1","","","","",""
"වමානරාගල","","","","","","","","","","","","","",""
"","Lightning","2025.02.26","1","2","","","","","1","","","","",""
"4
Monaragala
nkhdwhfiy","","","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","",""
"","","","1","3","","","","","1","","","","",""
"Moneragala","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","",""
"Kataragama","High wind","2025.03.04","1","6","","","","","1","","","","",""
"Uva","","","","","","","","","","","","","",""
"Wellawaya","","","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","5","18","1","0","0","0","5","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","5","18","1","0","0","0","5","0","0","0","0","0"
"යාපනය","","","","","","","","","","","","","",""
"5
Chankanai","High Wind","2025.02.28","2","10","","","","","2","","","","",""
"aho;g;ghzk; Jaffna
උතුරු පලාත       tl","","","","","","","","","","","","","",""
"khfhzk; Northen","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2","10","0","0","0","0","2","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","2","10","0","0","0","0","2","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","220","887","2","1","0","0","218","0","0","0","0","0"
"","","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
