"","","","Delthota","","","","","","","","1","4","","","","","1",""
"","","මහනුෙර","Madadumbara","","","","","","","","1","3","","","","","1",""
"","3","","","","2020.05.19","","","","","","","","","","","","",""
"","","fz;b      Kandy","Udapalatha","","","","","","","","1","6","","","","","1",""
"","","","Pasbage Korale","High Wind","","","","","99","443","99","443","","","","","",""
"","","","Gangawata Korale","High Wind","","","","","","","1","2","","","","","1",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","0","0","0","99","443","104","463","0","0","0","0","5","0"
"","","","Walapane","","","","","","1","5","2","9","","","","","2",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","","",""
"","","","Nuwaraeliya","","","","","","179","761","179","761","","","","","177",""
"Central","","නුෙරඑලිය","","","","","","","","","","","","","","","",""
"","","","","Flood and","","","","","","","","","","","","","",""
"","4","Etnuypah","Kothmale","","2020.05.19","","","","2","5","6","18","","","","","4",""
"","","","","Landslide","","","","","","","","","","","","","",""
"","","Nuwara Eliya","","","","","","","","","","","","","","","",""
"","","","Ambagamuwa","","","","","","","","98","339","","","","","98",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","0","0","0","182","771","285","1127","0","0","0","0","281","0"
"","","මාතලේ/khj;jis/M","Pallepola","High Wind","","","","","","","2","6","","","","","2",""
"","5","","","","","","","","","","","","","","","","",""
"","","atale","Abanganga","","","","","","","","2","6","","","","","2",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","0","0","0","0","0","4","12","0","0","0","0","4","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","0","0","0","281","1214","393","1602","0","0","0","0","290","0"
"","","","Uvaparanagama","Tree fallan","2020.05.19","","","","","","2","10","","","","","2",""
"","","බදුේල/gJs;is/Ba","Badulla","High Wind","","","","","","","1","3","","","","","1",""
"","6","","","","","","","","","","","","","","","","",""
"","","dulla","Kandaketiya","","","","","","","","1","2","","","","","1",""
"","","","Ella","","","","","","","","2","6","","","","","2",""
"","","","Meegahakiula","","","","","","","","2","6","","","","","3",""
"ඌෙ/Cth","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","0","0","0","0","0","2","10","0","0","0","0","2","0"
"khfhzk;/Uva","","","","","","","","","","","","","","","","","",""
"","","","Wallawaya","","","","","","","","","","","","","","7",""
"","","ලමානරාගල/nkhdwh","","","","","","","","","","","","","","","",""
"","7","","Butthala","High Wind","2020.05.19","","","","","","","","","","","","4",""
"","","fiy Moneragala","","","","","","","","","","","","","","","",""
"","","","Thanamalwila","","","","","","","","","","","","","1","9",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","0","0","0","0","0","0","0","0","0","0","1","20","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","0","0","0","0","0","2","10","0","0","0","1","22","0"
"","","","Neluwa","","","","","","","","21","85","","2","","","21",""
"","8","ගාේල/fhyp/Galle","","Flood","2020.05.19","","","","","","","","","","","","",""
"","","","Thawalama","","","","","","","","2","5","","","","","2",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","0","0","0","0","0","23","90","0","2","0","0","23","0"
"","","","Walasmulla","","","","","","","","20","71","","","","","18",""
"","","","Beliattaha","","","","","","","","10","31","","","","","10",""
"","","","Thangalle","","","","","","","","12","46","","","","","12",""
"","","හම්බනලතාට","Okewala","","","","","","","","9","41","","","","","9",""
"","9","`k;ghe;Njhl;il","Weeraketiya","Heavy Rain/ High Wind","2020.05.19","","","","","","10","35","","","","","10",""
"","","Hambantota","Adunukolapalassa","","","","","","","","9","25","","","","","9",""
"","","","Thissamaharamaya","","","","","","","","3","14","","","","","3",""
"","","","Ambalanthota","","","","","","","","2","9","","","","","2",""
"","","","Katuwana","","","","","","","","17","73","","","","","17",""
"දකුනු පලාත","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","0","0","0","0","0","92","345","0","0","0","0","90","0"
"njd; khfhzk;","","","Hakmana","","","","","","","","5","25","","","","","3",""
"Southern","","","","","","","","","","","","","","","","","",""
"","","","Kotapola","","","","","","","","200","770","","1","","","113",""
"","","","Pitabeddara","","","","","","","","7","26","","","","","11",""
"","","","Pasgoda","","","1","9","36","","","24","89","","","","1","25",""
"","","","Dikwella","","","","","","","","2","7","","","","","2",""
"","","මාතර khj;jiw","","Heavy Rain/ High","","","","","","","","","","","","","",""
"","10","","Devinuwara","","2020.05.19","","","","","","3","11","","","","","3",""
"","","Matara","","Wind","","","","","","","","","","","","","",""
"","","","Mulatiyana","","","","","","","","3","9","","","","","3",""
"","","","Thihagoda","","","","","","","","6","28","","","","","6",""
"","","","Malimbada","","","","","","","","1","5","","","","","1",""
"","","","Mathara","","","","","","","","1","4","","","","","1",""
"","","","Welipitiya","","","","","","","","2","7","","","","","2",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","1","9","36","0","0","254","981","0","1","0","1","170","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","1","9","36","0","0","369","1416","0","3","0","1","283","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","17","239","885","508","1942","4758","18430","3","4","0","11","1123","5"
