"","ස්ත්‍ංඛ්‍යාව","","","","","","","","","","","",""
"","","","","","","ස්ත්‍ංඛ්‍යාව","","","","Missing","හානි","",""
"மாவட்டம்  
gpuNjr nra.gp      DS","vz;zpf;if","FLk;gq;f","egHfs;","FLk;gq;f","egHfs;","","egHfs;","","People","","","gFjpasT","Minor"
"","","","","","","FLk;gq;fs;","","","","People","KOik","",""
"District
Division","No. of","s;","Persons","s;","Persons","","People","","","","","Partially","damage"
"","","","","","","Families","","","","","Fully","",""
"","Safety","Families","","Families","","","","","","","","",""
"","Locations","","","","","","","","","","","",""
"Aranayake","","","","","","4","17","","","","","2","2"
"Mawanella","","","","","","9","37","","","","","4","2"
"කෑගේල","","","","","","","","","","","","",""
"1
Cutting Failure
Kegalle","2020.05.19","","","","","10","41","","1","","1","9",""
"Nffhiy   Kegalle","","","","","","","","","","","","",""
"","","","","","","2","10","","","","","1","1"
"Bulathkohupitiya","","","","","","7","28","","","","","7",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","0","0","0","0","0","32","133","0","1","0","1","23","5"
"Palmadulla","5","36","140","","","1078","4171","1","","","2","106",""
"Opanayaka","1","16","50","29","104","297","1094","","","","2","5",""
"Eheliyagoda","","","","","","3","12","","","","","3",""
"Ayagama","1","5","16","90","292","199","694","","","","1","41",""
"Embilipitiya","","","","","","7","25","","","","","7",""
"සබරගමුෙ පලාත","","","","","","","","","","","","",""
"Rathnapura","6","48","206","","","1658","6738","2","","","","129",""
"rg;ufKt","","","","","","","","","","","","",""
"Kahawattha
Sabaragamuwa","","","","","","41","174","","","","","4",""
"Kiriella","","","","","","5","23","","","","","5",""
"Flood and 
රත්නපුර/,uj;jpdGhp/","","","","","","","","","","","","",""
"2
Kalawana","2020.05.19","","","","","21","69","","","","","18",""
"Rathnapura
Landslide","","","","","","","","","","","","",""
"Elapatha","","","","97","294","196","659","","","","1","26",""
"Nivithigala","","","","","","85","277","","","","","14",""
"Ibulpe","","","","","","6","24","","","","","6",""
"Balangoda","3","125","437","","","251","886","","","","1","93",""
"Kolonna","","","","1","4","23","81","","","","1","22",""
"Weligapola","","","","","","5","17","","","","","5",""
"Kuruvita","","","","10","34","78","299","","","","","12",""
"Godakawala","","","","","","9","26","","","","","9",""
"දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","16","230","849","227","728","3962","15269","3","0","0","8","505","0"
