"න්‍ රය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","32","24","90","55","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","33","25","90","45","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"හකාළඹ","30","36","85","70","සිහින් වැසි වාර කිහිපයක්"
"ගාල්ල","29","27","90","80","සිහින් වැසි වාර කිහිපයක්"
"යාපනය","33","26","90","75","සවස 4.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ම නුවර","29","20","95","65","සිහින් වැසි වාර කිහිපයක්"
"නුවරඑළිය","20","12","95","75","සිහින් වැසි වාර කිහිපයක්"
"රත්නපුරය","33","2","95","60","සිහින් වැසි වාර කිහිපයක්"
"ිකුණාමලය","34","25","80","50","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
