"","","Rathnapura","","1268","5188","12"
"","","Elapatha","","408","1519","15"
"","","Kuruvita","","79","305","13"
"","","Nivithigala","","8","26","8"
"","","Eheliyagoda","","2","7","2"
"","","Pelmadulla","","117","493","105"
"","","Kiriella","","54","171","2"
"","","","Flood / Landslide Risk","","",""
"","රත් පුර","Kolonna","","3","11
1","3"
"","","","/ High Wind / Heavy","","",""
"1",",uj;jpdGhp","","2022.05.13-23","","",""
"","","Ayagama","Rain/ Lightning /","38","163","4"
"","Rathnapura","","","","",""
"","","","Cutting Failiture","","",""
"ස්ත්‍බරගමුව පලොත","","Kalawana","","30","99","1
29"
"rg;ufKt","","Imbulpe","","4","17","4"
"Sabaragamuwa","","","","","",""
"","","Opanayaka","","8","22","8"
"","","Godakawela","","5","20","5"
"","","Balangoda","","6","26","6"
"","","Kahawaththa","","10","35","10"
"","","Weligapola","","1","2","2"
