"","Weather Forecast for Main Cities","","","","2024-08-29"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","Mainly fair"
"Batticaloa","33","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","80","70","Showers at times"
"Galle","30","28","80","75","Showers at times"
"Jaffna","31","29","85","70","A few showers"
"Kandy","29","21","90","60","Several spells of showers"
"Nuwara-Eliya","21","16","90","60","Several spells of showers"
"Ratnapura","34","23","95","60","Several spells of showers"
"Trincomalee","35","26","85","50","A few showers"
"Mannar","31","28","85","65","A few showers"
