"","","","","","","","","","KOik","sT","ன
்  சேதங் கள்","","fl;likg;Gf;fs;","f   No.","",""
"","District
DS Division","","","Families","People","","","g","","","","","","","s;","Persons"
"","","","","","","","People","","Fully","Partiall","","","Damages to","of Safety","",""
"","","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","People","","","","","","","Families",""
"","","","","","","","","","","y","","","critical","Location","",""
"","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","Damages","","Infrastructure","s","",""
"","Pathadumbara","Heavy Rain","2019.10.08","1","4","","","","","1","","","","","",""
"","Thumpane","Heavy Rain","2019.10.07","1","5","","","","","1","","","","","",""
"","Udapalatha","Cutting Failure","2019.10.08","34","154","","","","","34","","","","","",""
"","Ududumbara","Lightning","2019.10.09","1","4","","","","","1","","","","","",""
"","Pasbagekorale","RockFallen Risk","2019.10.09","5","23","","","","","","","","","","",""
"","නුවර","","","","","","","","","","","","","","",""
"","Gagaihala korale","Cutting Failure","2019.10.09","2","3","","","","","2","","","","","",""
"1","fz;b","","","","","","","","","","","","","","",""
"","Akurana","High Wind","2019.10.10","1","2","","","","","1","","","","","",""
"Kandy","","","","","","","","","","","","","","","",""
"","Udunuwara","Heavy Rain","2019.10.11/13","8","36","","","","","8","","","","","",""
"","Gangawatakorale","Cutting failure","2019.10.09","3","13","","","","","2","","","","","",""
"","Pathahewanheta","Heavy Rain","2019.10.09","1","5","","","","","1","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","",""
"","Kundasale","High Wind","2019.10.10","1","5","","","","","1","","","","","",""
"kj;jpa khfhzk","","","","","","","","","","","","","","","",""
"","Doluwa","Lightning","2019.10.12","1","9","","1","","","1","","","","","",""
"Central","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","59","263","0","1","0","0","53","","0","0","0","0","0"
"","","Rock Fallen","2019.10.12","1","7","","","","","","","","","","",""
"","Walapane","","","","","","","","","","","","","","",""
"","","Tree Fallen","2019.10.03","2","6","","","","","2","","","","","",""
"නුවරඑලිය","","","","","","","","","","","","","","","",""
"","","Flood","2019.10.09","38","182","","","","","38","","","","1","38","182"
"2
Etnuypah","Ambagamuwa","","","","","","","","","","","","","","",""
"","Nuwara Eliya","Fire","2019.09.20","30","126","","","","16","14","","","","1","30","126"
"","","Landslide","2019.10.09/10","2","18","","","","","","","","","","",""
"","Nuwaraeliya","","","","","","","","","","","","","","",""
"","","Landslide risk","2019.10.08","1","3","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","74","342","0","0","0","16","54","","0","0","2","68","308"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","133","605","0","1","0","16","107","","0","0","2","68","308"
"","","Tree Fallen","2019.10.09","2","6","","","","","2","","","","","",""
"","Mawanella","Rockfallen Risk","2019.10.09","1","2","","","","","","","","","","",""
"","","Cutting Failure","2019.10.12","5","20","","","","","2","","","","","",""
"","","Cutting Failure","2019.10.12","7","28","","","","1","27","","","","","",""
"","Kegalle","","","","","","","","","","","","","","",""
"","","Lightning","2019.10.09","1","4","","","","","1","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","","","",""
"","Deraniyagala","Cutting Failure","2019.10.12","6","25","","","","","6","","","","","",""
"ස්ත්‍බරගමුව පලාත 
3
Nffhiy","","","","","","","","","","","","","","","",""
"rg;ufKt","Rambukkana","Cutting Failure","2019.10.12","1","4","","","","","1","","","","","",""
"Kegalle","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","Lightning","2019.10.12","6","26","","","","","5","","","","","",""
"","Warakapola","","","","","","","","","","","","","","",""
"","","Tree Fallen","2019.10.12","3","13","","","","","3","","","","","",""
"","Yatiyantota","Lightning","2019.10.12","4","13","","","","","1","","","","","",""
"","Galigamuwa","Heavy Rain","2019.10.12","12","38","","","","","4","","","","","",""
"","Dehiovita","Fire","2019.10.09","1","3","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","49","182","0","0","0","1","53","","0","0","0","0","0"
