"","Weather Forecast for Main Cities","","","Date :","15-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","88","55","Mainly fair"
"Batticaloa","36","26","80","50","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","85","70","Showers at times"
"Galle","29","26","95","80","Showers at times"
"Jaffna","33","27","80","60","Mainly fair"
"Kandy","29","24","80","70","Several spells of showers"
"Nuwara-Eliya","19","15","90","85","Several spells of showers"
"Ratnapura","33","23","95","70","Showers at times"
"Trincomalee","36","27","80","50","Mainly fair"
"Mannar","32","28","90","70","Mainly fair"
