"","Weather Forecast for Main Cities","","","","24-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","60","Mainly fair"
"Batticaloa","36","27","80","50","Mainly fair"
"Colombo","31","26","90","75","Several spells of showers"
"Galle","29","26","90","75","Several spells of showers"
"Jaffna","32","28","85","70","Mainly fair"
"Kandy","28","24","90","75","Showers at times"
"Nuwara-Eliya","19","16","95","85","Showers at times"
"Ratnapura","30","24","95","80","Showers at times"
"Trincomalee","35","27","80","50","Mainly fair"
"Mannar","31","28","80","55","Mainly fair"
