"","Weather Forecast for Main Cities","","","","2024-07-12"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","60","Mainly fair"
"Batticaloa","35","27","90","60","Showers or thundershowers after 2.00p.m"
"Colombo","29","24","95","70","Showers at times"
"Galle","29","26","90","75","Showers at times"
"Jaffna","32","26","85","65","A few showers"
"Kandy","29","22","95","70","Several spells of light showers"
"Nuwara-Eliya","19","13","95","70","Several spells of light showers"
"Ratnapura","32","23","95","70","Showers at times"
"Trincomalee","36","26","85","50","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","28","85","70","A few showers"
