"","","","","","","","","","People","","","Small, Medium,","","","","",""
"","","","","","","","","","","","","","","","Families","",""
"","","","","","","","","","","","y","Enterprises","critical","Location","","",""
"","","","","","","","","","","","","Damages","Infrastructure","s","","",""
"","","","Bandarawela","","1","5","","","","","","","","1","1","","5 Yowun Senankaya"
"","","බදුල්ල","Passara","Heavy Rain
2019.12.20","5","18","","","","","","","","1","5","","18 1. kanawarella sarwodaya bulding"
"ඌෙ","1","gJs;is","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","Ella","","8","28","","","","","","","","1","8","","28 Karandagolla Temple"
"","","Badulla","","","","","","","","","","","","","","",""
"Uva","","","","","","","","","","","","","","","","",""
"","","","Haputhale","Air Craft Crash
2020.01.03","","4","4","","","","","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","14","55","4","0","0","0","0","0","0","3","14","51",""
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total","","","14","55","4","0","0","0","0","0","0","3","14","51",""
"","","","","High wind
2019.12.20","69","258","","","","","28","","","1","10","","47 Thorapitiya Temple"
"","","මහනුෙර","Minipe","","","","","","","","","","","","","",""
"","2","fz;b","","","","","","","","","","","","","","",""
"","","","","2020.01.01
High Wind &","1","4","","","","","1","","","","","",""
"","","Kandy","","","","","","","","","","","","","","",""
"","","","Yatinuwara","Tree Fallen
2020.01.02","1","5","","","","","1","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","71","267","0","0","0","0","30","0","0","1","10","47",""
"","","","","","","","","","","","","","","","","","01. Munwatte Temple,  02."
"මධයම පලාත","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Naranthalawa Wewakele temple,"
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","03. Magrat School,       04."
"Central","","","","","","","","","","","","","","","","","Ekangapura School, 05. Brooksight"
"","","නුෙරඑලිය","","2019.11.30/12.11","107","272","","","","","","","","10","107","272","Childcare centre"
"","3","Etnuypah","Walapane","Land Slide Risk","","","","","","","","","","","","","06.Liyanwala School, 07. Watambe"
"","","Nuwara Eliya","","","","","","","","","","","","","","","School, 08. Harasbedda Temple"
"","","","","","","","","","","","","","","","","","09. Kalamulle Temple       10."
"","","","","","","","","","","","","","","","","","Rockland State  Childcare centre"
"","","","","2019.12.20","38","124","","","","","","","","1","38","","124 Ilukpelesse Multiwok building"
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","145","396","0","0","0","0","0","0","0","11","145","396",""
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total","","","145","396","0","0","0","0","0","0","0","11","145","396",""
"","","කෑගල්ල","","Heavy Rain &","","","","","","","","","","","","",""
