"","Weather Forecast for Main Cities","","","","18-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","21","95","60","Several spells of light showers"
"Batticaloa","29","24","95","70","Several spells of showers"
"Colombo","31","22","90","70","Mainly fair"
"Galle","29","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","95","65","A few showers"
"Kandy","29","21","95","60","Mainly fair"
"Nuwara-Eliya","20","10","90","60","Mainly fair"
"Ratnapura","32","22","95","65","Mainly fair"
"Trincomalee","30","22","95","60","Several spells of light showers"
"Mannar","30","25","85","65","Showers or thundershowers are likely after 2.00p.m"
