"","Weather Forecast for Main Cities","","","","19-Nov-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","65","Showers at times"
"Batticaloa","30","25","95","70","Showers at times"
"Colombo","32","25","90","65","Showers or thundershowers after 2.00p.m"
"Galle","32","25","95","65","Showers or thundershowers after 2.00p.m"
"Jaffna","30","24","90","75","Showers at times"
"Kandy","32","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","14","90","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","24","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","25","95","75","Several spells of showers"
"Mannar","31","26","95","75","Showers at times"
