"","","","","திகதி :","2024-12-11"
"","முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"அனுராதபுரம்","32","22","95","70","அடிக்கடி மழை பெய் யும்"
"மட்டக்களப்பு","30","24","90","75","அடிக்கடி மழை பெய் யும்"
"வகாழும் பு","32","24","90","60","அடிக்கடி மழை பெய் யும்"
"","","","","","பி.ெ. 2.00 மணிக்குெ் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"காலி","31","25","90","70",""
"","","","","","மழை பெய் யும்  சாத்தியம்"
"யாழ் ப்பாணம்","29","24","95","85","அவ் வெ்பொது மழை அல் லது இடியுடன்  கூடிய மழை பெய் யும்"
"","","","","","பி.ெ. 2.00 மணிக்குெ் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"கண் டி","29","19","95","65",""
"","","","","","மழை பெய் யும்  சாத்தியம்"
"","","","","","பி.ெ. 2.00 மணிக்குெ் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"நுவவரலியா","22","10","95","65",""
"","","","","","மழை பெய் யும்  சாத்தியம்"
"","","","","","பி.ெ. 2.00 மணிக்குெ் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"இரத்தினபுரி","34","22","95","65",""
"","","","","","மழை பெய் யும்  சாத்தியம்"
"திருககாணமலை","29","24","90","75","அவ் வெ்பொது மழை அல் லது இடியுடன்  கூடிய மழை பெய் யும்"
"மன் னார்","30","27","95","75","அடிக்கடி மழை பெய் யும்"
