"","Weather Forecast for Main Cities","","","","11-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","22","95","70","Several spells of showers"
"Batticaloa","30","24","90","75","Several spells of showers"
"Colombo","32","24","90","60","Several spells of showers"
"Galle","31","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","95","85","Showers or thundershowers at times"
"Kandy","29","19","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","10","95","65","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","24","90","75","Showers or thundershowers at times"
"Mannar","30","27","95","75","Several spells of showers"
