"","#NAME?","","","Date :","13-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","24","95","60","Several spells of showers"
"Batticaloa","30","25","95","75","Several spells of showers"
"Colombo","30","25","95","70","Several spells of showers"
"Galle","30","25","90","70","Several spells of showers"
"Jaffna","29","24","95","90","Several spells of showers"
"Kandy","28","22","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","14","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","24","95","85","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","24","95","85","Several spells of showers"
"Mannar","29","27","95","80","Showers or thundershowers at times"
