"මඩක඼පුල","","","","","","","","","","","","","",""
"18
kl;lf;fsg;G","","","","","","","","","","","","","",""
"Batticaloa","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Drought","2019.04.17","","","","","","","","","","","","","4"
"Poratheevupattu","","5992","19552","","","","","","","","","","",""
"Kattankudy","","1","2","","","","","1","","","","","",""
"High wind","2019.06.16","","","","","","","","","","","","",""
"Manmunai pattu","","7","34","","","","","7","","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","22584","74720","1","0","0","0","66","4","0","0","0","0",""
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","36643","152936","1","0","0","13","130","5","0","1","17","50",""
"ලමොනර෈ග඼","","","","","","","","","","","","","",""
"19
Buttala
Drought
nkhdwhfiy","2019.04.08","340","1530","","","","","","","","","","",""
"Moneragala","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","340","1530","0","0","0","0","0","0","0","0","0","0",""
"ඌල                
Badulla","2019.06.17","35","132","","","","1","33","1","","","","",""
"Cth khfhzk  
බදුල්඼","","","","","","","","","","","","","",""
"Passara","2019.06.10","8","34","","","","","8","","","","","",""
"Uva
20
High Wind
gJs;is","","","","","","","","","","","","","",""
"Haputhale","2019.06.11","3","7","","","","","3","","","","","",""
"Badulla","","","","","","","","","","","","","",""
"Welimada","2019.06.08","1","6","","","","","1","","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","47","179","0","0","0","1","45","1","0","0","0","0",""
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","387","1709","0","0","0","1","45","1","0","0","0","0",""
"මුළු එකතුල   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","123296","448546","4","1","3","46","294","14","0","5","75","277",""
"","","","","ර෈ජක෈රි භ෈ර නිළධ෈රි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
