"","දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :17th March 2025 at 0900hrs","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j","","","","","","","","",""
"","","","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","බලපෑමට ලක්වු","","","","","","","","ලවනත් හානි பிற பாதிப்புகள்","","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","","","","","","","","","tPLfs; Houses","","","","","","","","",""
"","","","Administrative purview","","ghjpf;fg;gl;l    Affected","","","","","","","","Other Damages","","","","miktplk; Safe Location","",""
"","","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","","","","","","",""
"","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","","","",""
"","","","","","","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","","","","","","",""
"","","","ආපදාව","mdu;j;jk;","","","","","","","","","","ඉතා වැදගත් යටිතල","","ආරක්ිත","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","","kuzq;f","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","","","","","","",""
"","#","","","Muk;gpj;j jpfjp  
mdHj;jk","","","","","","","","","","පහසුකම් වලට වූ","","ස්ත්‍
රථාන","","","NtW Fwpg;Gf;fs;"
"","","","","","","","s;","e;NjhH","NghNdhH","","","ස්ත්‍
රථාන சிறிய,","","","","","පවුේ","",""
"Province","","","ප්‍රා.ලේ. ලකා","","","","","","","","","","","","","","","","Remarks"
"","","","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","","දිස්ත්‍රික්කය","","","","","","","","පූර්ණ හානි","","நிறுவனங்களின்","","","","","","",""
"","","","gpuNjr nra.gp     DS","","FLk;gq;fs;","egHfs;","","Injured","Missing","","gFjpasT","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","egHfs;",""
"","","","","commenced","","","","","","KOik Fully","","","","","","","","",""
"","","மாவட்டம் District","","","Families","People","","","","","Partially","சேதங்கள்; Small,","","Damages to","","f   No.","s;","Persons",""
"","","","Division","","","","","People","People","","","","","","","","","",""
"","","","","","","","","","","","","Medium,","","critical","","of Safety","Families","",""
"","","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","","",""
"","","","","","","","","","","","","Damages","","","","","","",""
"","","රත්නපුර","","","","","","","","","","","","","","","","",""
"","","","Lightning","2025.03.13","1","6","","","","","","","","","","","","",""
"","1",",uj;jpdGhp","Kuruwita","","","","","","","","","","","","","","","",""
"සබරගමුෙ පලොත","","","","","","","","","","","","","","","","","","",""
"","","","High Wind","2025.03.13","2","10","","","","","2","","","","","","","",""
"","","Rathnapura","","","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","3","16","0","0","0","0","2","","0","","0","0","0","0",""
"","","පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","3","16","0","0","0","0","2","","0","","0","0","0","0",""
"","","","High Wind
Medawachchiya","2025.03.10","2","8","","","","","2","","","","","","","",""
"","","අනුරොධ්‍පුර","","","","","","","","","","","","","","","","",""
"උතුරු ැද පලොත","2","m.Guk;.","Kahatagasdigiliya","2025.03.13","","","1","","","","","","","","","","","",""
"tlkj;jpa","","","Elephant attack","","","","","","","","","","","","","","","",""
"","","Anuradhapura","","","","","","","","","","","","","","","","",""
"","","","Mihinthale","2025.03.12","","","1","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","","",""
"North Central","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","2","8","2","0","0","0","2","","0","","0","0","0","0",""
"","","පළොත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","2","8","2","0","0","0","2","","0","","0","0","0","0",""
