"","Monaragala","2019.07.01","4613","13895","","","","","","","","","",""
"","Siyabalanduwa","2019.07.01","3346","11824","","","","","","","","","",""
"","Badalkumbura","2019.06.27","506","2024","","","","","","","","","",""
"ගමොනර෈ග඼","","","","","","","","","","","","","",""
"","Medagama","2019.06.19","6658","22537","","","","","","","","","",""
"17
nkhdwhfiy","","Drought","","","","","","","","","","","",""
"","Buttala","2019.04.04","1289","5456","","","","","","","","","",""
"Moneragala","","","","","","","","","","","","","",""
"","Bibila","2019.06.15","2088","5560","","","","","","","","","",""
"ඌල","Madulla","2019.06.03","2596","9156","","","","","","","","","",""
"Cth khfhzk","Wellawaya","2019.06.03","746","2984","","","","","","","","","",""
"Uva","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","21842","73436","0","0","0","0","0","0","0","0","0","0"
"බදුේ඼","Bandarawela","","35","120","","","","","","","","","",""
"18","","Drought
2019.07.12","","","","","","","","","","","",""
"gJs;is Badulla","","","","","","","","","","","","","",""
"","Mahiyanganaya","","176","711","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","211","831","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","22053","74267","0","0","0","0","0","0","0","0","0","0"
"මුළු එකතුල   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","230578","778474","0","0","0","0","0","0","0","0","0","0"
