"","Weather Forecast for Main Cities","","","","22-Nov-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","95","75","Showers or thundershowers at times"
"Batticaloa","29","25","95","80","Several spells of showers"
"Colombo","30","24","95","65","Showers or thundershowers after 2.00p.m"
"Galle","30","24","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","27","24","95","85","Showers or thundershowers at times"
"Kandy","29","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","23","14","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","22","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","24","95","80","Showers or thundershowers at times"
"Mannar","29","25","95","80","Showers or thundershowers after 2.00p.m"
