"දිසරික්කය 
රත්තනපුර","ප්‍රා.ලේ.සංඛ්‍යාව 
17","ආපදාව","ආරක්‍ෂිත සරථාන 
00","සංඛ්‍යාව","පවුේ සංඛ්‍යාව  
00","පුද්ගල සංඛ්‍යාව   
00","ඥාති නිවාස වල 
8","සිටින පවුේ","ඥාති නිවාස","සිටින 
27","පුද්ගලයින්","බලපෑමට ලක්ූ 
පවුේ 
1896","බලපෑමට ලක්ූ  
පුද්ගලයින් 
7305","මිය යෑම් 
01","තුවාලූ","පුද්ගලයන්","අතුරුදහන්","පූර්ණ නිවාස","හානි","අර්ධ නිවාස 
හානි 
601"
"නුවරඑළිය","05","","07","","86","314","338","","","1244","","472","1755","3","","","03","01","","342"
"යාපනය","01","","0","","0","0","0","","","0","","01","05","","","","","","","01"
"ගාල්ල","02","","0","","0","0","0","","","0","","02","08","","","","","","","02"
"","","ගාංවතුර /","","","","","","","","","","","","","","","","","",""
"මහනුවර","14","","05","","51","260","115","","","378","","952","4108","","","","01","","","65"
"","","දැඩි සුළාං/","","","","","","","","","","","","","","","","","",""
"හම්බන්තාට","02","නායයැම්","0","","0","0","0","","","0","","06","23","","","","","","","05"
"","","අවදානම්","","","","","","","","","","","","","","","","","",""
"කෑගල්ල","10","","0","","0","0","0","","","0","","53","205","","","","","","","44"
"මාත්ල්","05","","0","","0","0","08","","","34","","33","115","","","01","","","","33"
"මාතර","09","","0","","0","0","0","","","0","","50","192","","","","","","","50"
"ගම්පහ","04","","0","","0","0","0","","","0","","6","23","","","","","","","6"
"එකතුව","","","","","","","","","","","","","","","","","","","",""
"","69","","12","","137","574","469","","","1683","","3471","13739","04","","01","04","","01","1149"
