"","දත්තතයන්","සංඛ්‍යාව",""
"▪","බලපෑමට ලක් ූ දිසරික් සංඛ්‍යාව","","10"
"▪","බලපෑමට ලක් ූ ප්‍රාලද්ශිය ලේකම් ලකාට්ඨාශ සංඛ්‍යාව","","65"
"▪","මියයෑම","","04"
"▪","අතුරුදහන්","","04"
"▪","තුවාල ලැබූ සංඛ්‍යාව","","01"
"▪","මුළු සුරක්ෂිත මධයසරථාන සංඛ්‍යාව","","12"
"▪","සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පවුේ සංඛ්‍යාව","","137"
"▪","සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පුද්ගල සංඛ්‍යාව","","574"
"▪","ඥාති නිවාස වල සිටින මුළු පවුේ සංඛ්‍යාව","","469"
"▪","ඥාති නිවාස වල සිටින මුළු පුද්ගල සංඛ්‍යාව","","1683"
"▪","බලපෑමට ලක් ූ මුළු පවුේ සංඛ්‍යාව","","3471"
"▪","බලපෑමට ලක් ූ මුළු පුද්ගල සංඛ්‍යාව","","13739"
"▪","මුළු පූර්ණ හානි සංඛ්‍යාව","","01"
"▪","මුළු අර්ධ හානි සංඛ්‍යාව","","1149"
