"සුරක්ෂිත මධයසරථාන පිළිබඳ විසරතර","","","","",""
"දිසරික්කය  ආපදාව","","ප්‍රා.ලේ.ලකා","මධයසරථානලේ නම","පවුේ","පුද්ගලයින්"
"","","","","සංඛ්‍යාව","සංඛ්‍යාව"
"","","","නාවලිටිය උතුර වසම","1","3"
"","","","ඉගුරුඔය දකුණ","3","10"
"","","පසරබ්ේ","","",""
"මහනුවර","ගාංවතුර","","ග්‍ර
නවුඩ්","1","3"
"","","්කෝර්ල්","","",""
"","","","බවුවාගම","20","100"
"","","","නාවලිටිය නැ්ගනහිර","26","144"
"","","","්දමළ මහ විදයාලය","22","93"
"","","","ඔල්ටාන ්කාවිල","27","123"
"","ගාංවතුර","අඹගමුව","","",""
"","","","බ්ලැක්්වෝටර් පාසල","21","52"
"නුවරඑළිය","","","එනසල්අරාව පාසල","1","4"
"","නායයෑම් අවදානම","","රත්තනගිරිය පනසල","6","22"
"","","නුවරඑළිය","","",""
"","","","විදුලිපුර පාංසල","8","15"
"","","අඹගමුව","්ක්හල්අරාව පාසල","1","5"
"එකතුව","","","","137","574"
