"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","33","26","95","65","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","33","26","85","70","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","30","26","90","75","වැසි වාර කිහිපයක්"
"ගාල්ල","29","26","90","80","වැසි වාර කිහිපයක්"
"යාපනය","32","28","90","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","29","22","95","80","වැසි වාර කිහිපයක්"
"නුවරඑළිය","20","15","95","70","වැසි වාර කිහිපයක්"
"රත්නපුරය","32","23","95","80","වැසි වාර කිහිපයක්"
"ිකුණාමලය","34","26","85","65","ප්‍රධාන වශයයන් වැසි රහිත"
