"","","","","Date :","1-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","85","40","Mainly fair"
"Batticaloa","31","26","90","75","Mainly fair"
"Colombo","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","33","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","26","90","55","Mainly fair"
"Kandy","34","23","90","40","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","25","13","95","45","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","24","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","26","95","60","Mainly fair"
"Mannar","34","26","90","60","Showers or thundershowers are likely after 2.00p.m"
