"","ප්‍රධාන්‍  න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය","","","දින්‍ය :     2024-01-23",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","31","23","90","65","ප්‍රධාන වශහයන් වැසි රහිත"
"මඩකලපුව","30","24","90","75","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","31","24","90","60","ප්‍රධාන වශහයන් වැසි රහිත"
"ගාල්ල","30","24","85","70","සවස 4.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"යාපනය","30","24","90","70","ප්‍රධාන වශහයන් වැසි රහිත"
"ම නුවර","31","21","90","65","ප්‍රධාන වශහයන් වැසි රහිත"
"නුවරඑළිය","21","11","95","70","සවස 4.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"රේනපුරය","32","23","95","60","සවස 4.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"ිකුණාමලය","30","24","90","70","ප්‍රධාන වශහයන් වැසි රහිත"
"මන්නාරම","30","25","90","70","ප්‍රධාන වශහයන් වැසි රහිත"
