"","","","","Date :","1-Oct-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","50","Mainly fair"
"Batticaloa","36","26","80","45","Mainly fair"
"Colombo","31","27","85","75","A few showers"
"Galle","30","27","90","80","Several spells of light showers"
"Jaffna","32","27","90","75","Mainly fair"
"Kandy","29","22","90","65","Mainly fair"
"Nuwara-Eliya","18","14","95","70","Mainly fair"
"Ratnapura","33","24","95","75","A few showers"
"Trincomalee","36","27","80","45","Mainly fair"
"Mannar","32","28","85","65","Mainly fair"
