"","Weather Forecast for Main Cities","","","","2024-08-04"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","26","80","45","Showers or thundershowers are likely after 2.00p.m"
"Colombo","26","27","90","70","Showers at times"
"Galle","30","25","95","85","Showers at times"
"Jaffna","34","27","85","65","Mainly fair"
"Kandy","30","22","95","70","Several spells of showers"
"Nuwara-Eliya","20","15","95","75","Showers at times"
"Ratnapura","32","23","95","75","Showers at times"
"Trincomalee","36","27","80","45","Showers or thundershowers after 2.00p.m"
"Mannar","32","27","85","70","Mainly fair"
