"","","","","","Page 2","","","","","","","","","",""
"මඩකලපුව","","","","","","","","","","","","","","",""
"8
Koralaipattu south
kl;lf;fsg;G","High Wind","2020.05.18","","","","","","2","7","","","","","2",""
"Batticaloa","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","0","0","0","0","2","7","0","0","0","0","2","0"
"Kinniya
ත්‍රීකුණාමලය","","","","","","","","1","4","","","","","1",""
"9
Kantale
jp.kiy","High Wind","2020.05.18","","","","","","59","245","","","","","59",""
"ැනග හිර පලාත 
Trincomalee","","","","","","","","","","","","","","",""
"Thambalakamam","","","","","","","","1","4","","","","","1",""
"fpof;F       Eastern","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","0","0","0","0","61","253","0","0","0","0","61","0"
"අම්පාර     mk;ghiw","","","","","","","","","","","","","","",""
"10
Dehiaththakandiya","High Wind","2020.05.18","","","","","","115","425","","","","","115",""
"Ampara","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","0","0","0","0","115","425","0","0","0","0","115","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","0","0","0","0","0","178","685","0","0","0","0","178","0"
"කළුතර   fSj;Jiw","","","","","","","","","","","","","","",""
"11
Beruwala","Drowning","2020.05.18","","","","","","","","2","1","","","",""
"Kalutara","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Western","","","0","0","0","0","0","0","0","2","1","0","0","0","0"
"Nky; khfhzk","","","","","","","","","","","","","","",""
"ගම්පහ        fk;g`h","","","","","","","","","","","","","","",""
"12
Dompe
බස්ත්‍ර ාහිර පලාත","","2020.05.18","","","","","","1","4","","","","","1",""
"Gampaha","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","0","0","0","0","1","4","0","0","0","0","1","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","0","0","0","0","0","1","4","2","1","0","0","1","0"
"කුරු ෑගල 
Maaspotha","","2020.05.18","","","","","","2","8","","","","","2",""
"වයඹ පලාත  
13
FUdhfy;","High Wind","","","","","","","","","","","","","",""
"tlNky; 
Panduwasnuwara/ W","","2020.05.18","","","","","","1","4","","","","","1",""
"Kurunegala","","","","","","","","","","","","","","",""
"khfhzk;   North","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","0","0","0","0","3","12","0","0","0","0","3","0"
"Western","","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","0","0","0","0","0","3","12","0","0","0","0","3","0"
"හම්බන්නතාට","","","","","","","","","","","","","","",""
"14
Walasmulla
k;ghe;Njhl;il 
දකුනු පලාත","","2020.05.18","","","","","","4","12","","","","","4",""
"Hambantota
njd; khfhzk;","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Southern","","","0","0","0","0","0","4","12","0","0","0","0","4","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","0","0","0","0","0","4","12","0","0","0","0","4","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","2","2","7","1","3","436","1433","3","2","0","3","417","2"
