"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","0","","0","0","","0","0","16","35","0","0","0","0","7","0"
"Pathahewaheta
High Wind
මහනුවර","2020.05.17","","","","","","1","4","6","20","","","","","6",""
"2","","","","","","","","","","","","","","","",""
"මධ්‍යම පලාත   
fz;b      Kandy","","","","","","","","","","","","","","","",""
"Ududumbara
High Wind","2020.05.17","","","","","","","","2","8","","","","","2",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Central","","0","","0","0","","1","4","8","28","0","0","0","0","8","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","0","","0","0","","1","4","8","28","0","0","0","0","8","0"
"Mannar town","","","","","","","","","65","250","","","","","53",""
"Nanattan
මන් ාරම","","1","","1","3","","","","18","69","","","","2","15",""
"3
High Wind
kd;dhH    
Manthaiwest","2020.05.17","","","","","","","","13","43","","","","","7",""
"ැනග හිර පලාත 
Mannar","","","","","","","","","","","","","","","",""
"Musali","","","","","","","","","29","93","","","","","24",""
"fpof;F       Eastern","","","","","","","","","","","","","","","",""
"Madhu","","","","","","","","","16","67","","","","","8",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","","1","3","","0","0","141","522","0","0","0","2","107","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","","1","3","","0","0","141","522","0","0","0","2","107","0"
"Uduvil","","","","","","","","","1","5","","","","","1",""
"යාප ය","","","","","","","","","","","","","","","",""
"4
High Wind
Pointpedro
උතුරු පලාත","2020.05.17","","","","","","","","24","78","","","","","7",""
"aho;g;ghzk; Jaffna","","","","","","","","","","","","","","","",""
"Nallur
tl khfhzk;","","","","","","","","","1","3","","","","","1",""
"Northen
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","0","","0","0","","0","0","26","86","0","0","0","0","9","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","0","","0","0","","0","0","26","86","0","0","0","0","9","0"
"Aththanagalla","2020.05.17","","","","","","","","2","11","","","","","2",""
"ගම්පහ","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","","",""
"fk;g`h Gampaha
Wattala","2020.05.17","","","","","","","","1","5","","","","","1",""
"Nky; khfhzk","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
බස්ත්‍ර ාහිර පලාත","","0","","0","0","","0","0","3","16","0","0","0","0","3","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","0","","0","0","","0","0","3","16","0","0","0","0","3","0"
"පුත්තලම      
වයඹ පලාත","","","","","","","","","","","","","","","",""
"6
Karuwalagaswewa
High Wind","2020.05.17","","","","","","","","1","4","","","","","1",""
"Gj;jsk;  Puttalam
tlNky;","","","","","","","","","","","","","","","",""
"khfhzk;   North","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","0","","0","0","","0","0","1","4","0","0","0","0","1","0"
"Western","","","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","0","","0","0","","0","0","1","4","0","0","0","0","1","0"
"Okewela","2020.05.17","","","","","","","","2","7","","","","","2",""
"හම්බන්නතාට","","","","","","","","","","","","","","","",""
"Weerakatiya","2020.05.17","","","","","","","","2","5","","","","","2",""
"7
High Wind
k;ghe;Njhl;il 
දකුනු පලාත","","","","","","","","","","","","","","","",""
"Beliatta","2020.05.17","","","","","","","","1","4","","","","","1",""
"Hambantota
njd; khfhzk;","","","","","","","","","","","","","","","",""
"Thangalla","2020.05.17","","","","","","","","4","12","","","","","4",""
"Southern","","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","0","","0","0","","0","0","9","28","0","0","0","0","9","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","0","","0","0","","0","0","9","28","0","0","0","0","9","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","1","","1","3","","1","4","204","719","0","0","0","2","144","0"
