"","","Arachchikattuwa","","","1","5","","","","","1"
"","","Puttalam","","","109","497","","","","","109"
"","පුත්තලම","","","","","","","","","",""
"","","Mundalama","","","16","62","","","","","16"
"7","Gj;jsk;","","High Wind","2024.08.16","","","","","","",""
"","","Kalpitiya","","","13","49","","1","","","11"
"","Puttalam","","","","","","","","","",""
"වයඹ පලොත","","Wanathawilluwa","","","6","21","","1","","","6"
"tlNky; khfhzk","","","","","","","","","","",""
"","","Chilaw","","","2","5","","","","","2"
"North","","","","","","","","","","",""
"Western","","Mahawewa","Flood","2024.08.19","166","481","","","","",""
"","","Madampe","","","127","507","","","","",""
"","","Naththandiya","","","5","22","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","445","1649","0","2","0","0","145"
