"","Galle","","","","","","","","",""
"දකුණු පලොත","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1","4","0","0","0","1","0"
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","1","4","0","0","0","1","0"
"","Mathugama","Heavy Rain","2024.08.17","9","35","","","","",""
"","Beruwala","High Wind","2024.08.16","8","32","","","","","8"
"","Palindanuwara","Flood","2024.08.17","193","683","","","","","2"
"","Walallawita
කළුතර  fSj;Jiw","Flood","2024.08.17","15","54","","","","","4"
"6","","","","","","","","","",""
"බස්ත්‍ර ොහිර පලොත","Kalutara","","","","","","","","",""
"","Bulathsinhala","Flood","2024.08.17/18","43","147","","","","","8"
"Western","","","","","","","","","",""
"","Madurawala","Flood","2024.08.18","6","20","","","","","1"
"Nky; khfhzk","","","","","","","","","",""
"","Kalutara","Heavy Rain","2024.08.17","3","14","","","","","3"
"","Ingiriya","Heavy Rain","2024.08.17","1","4","","","","","1"
