"","","","","Date :","20-Feb-2024"
"","Weather Forecast for Main Cities","","","",""
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","50","Mainly fair"
"Batticaloa","30","25","90","70","Mainly fair"
"Colombo","33","24","85","50","Mainly fair"
"Galle","32","25","85","75","Mainly fair"
"Jaffna","31","24","85","65","Mainly fair"
"Kandy","31","21","85","55","Mainly fair"
"Nuwara-Eliya","21","11","80","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","21","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","26","80","65","Mainly fair"
"Mannar","31","25","90","65","Mainly fair"
