"","","","","","","Page 2","","","","","","","","","",""
"","","Ruwanwella","High Wind /","2019.11.24","1","4","","","","","1","","","","",""
"","","Rambukkana","Lightning","2019.11.24","1","4","","","","","1","","","","",""
"","කෑගල්ල Nffhiy","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලොත","9","","Lightning","2019.11.26","1","6","","","","","1","","","","",""
"","Kegalle","Yatiyanthota","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","",""
"","","","Heavy Rain","","1","5","","","","","1","","","","",""
"Sabaragamuwa","","","","2019.11.25","","","","","","","","","","","",""
"","","Dehiovita","Cutting Failure","","1","4","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","5","23","0","0","0","0","4","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","5","23","0","0","0","0","4","0","0","0","0","0"
"","","Gangawata Korale","","2019.11.23","2","9","","","","","2","","","","",""
"","","","High Wind","","","","","","","","","","","","",""
"","","Pathadumbara","","2019.11.26","1","2","","","","","1","","","","",""
"","නුවර","","","","","","","","","","","","","","",""
"","10
fz;b","Galagedara","Heavy Rain","2019.11.24","1","4","","","","","1","","","","",""
"","Kandy","","","","","","","","","","","","","","",""
"","","Udapalatha","","","1","5","","","","","1","","","","",""
"","","","High Wind","2019.11.26","","","","","","","","","","","",""
"ධය  පලොත","","Ududumbara","","","1","4","","","","","1","","","","",""
"kj;jpa khfhzk;","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","6","24","0","0","0","0","6","0","0","0","0","0"
"Central","","","","","","","","","","","","","","","",""
"","නුවරඑලිය","","Wall Failure","","1","6","","","","","1","","","","",""
"","11
Etnuypah","Walapane","","2019.11.25","","","","","","","","","","","",""
"","Nuwara Eliya","","Cutting Failure","","1","4","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","2","10","","","","","2","","","","",""
