"","දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :27th March 2025 at 0900hrs","","","","","","","","","","","","","",""
"","","","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j","","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","බලපෑමට ලක්වු","","","","","","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","","","","","","","","tPLfs; Houses","","","","","",""
"","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","","","Other Damages","","miktplk; Safe Location","",""
"","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","","","",""
"","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","",""
"","","","","","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","","","",""
"","","ආපදාව","mdu;j;jk;","","","","","","","","","ඉතා වැදගත් යටිතල","","",""
"පළාත khfhzk;","","","","","","kuzq;f","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","","ආරක්ිත","","ලවනත් කරුණු"
"#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","පහසුකම් වලට වූ 
ස්ත්‍","රථාන","පවුේ",""
"","","","","","","s;","e;NjhH","NghNdhH","","ස්ත්‍","රථාන சிறிய,","","","","NtW Fwpg;Gf;fs; Remarks"
"Province","දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","","","","","","","","","","","","","",""
"","","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","","","","","","","","","පූර්ණ හානි","","","","","",""
"","மாவட்டம்  
gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","Injured","Missing","","gFjpasT","நிறுவனங் களி","fl;likg;Gf;fs;","vz;zpf;i","egHfs; 
FLk;gq;f",""
"","","","commenced","","","","","","KOik Fully","","","","","",""
"","","","","Families","People","","","","","ன
 Partially","்  சேதங் கள்","Damages to","f   No.","s; 
Persons",""
"","District
Division","","","","","","People","People","","","","","","",""
"","","","","","","","","","","","Small, Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","Kolonna","Tree Fallen","2025.03.25","1","4","","","","","1","","","","",""
"","Kalawana","Tree Fallen","2025.03.25","1","2","","","","","1","","","","",""
"","රත්නපුර               
Nivithigala","Tree Fallen","2025.03.25","1","3","","","","","1","","","","",""
"1",",uj;jpdGhp","","","","","","","","","","","","","",""
"","Opanayake
Rathnapura","Cutting Failiture","2025.03.25","1","4","","","","","1","","","","",""
"","Kahawattha","Tree Fallen","2025.03.25","2","3","","","","","2","","","","",""
"","Elapatha","Tree Fallen","2025.03.25","1","2","","","","","1","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","",""
"rg;ufKt","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","7","18","0","0","0","0","7","0","0","0","0","0"
"Sabaragamuwa","Yatiyanthota","","2025.03.25","32","127","","","","","43","","","","",""
"","Ruwanwella","","2025.03.25","5","22","","","","","5","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","",""
"","","Highwind/Tree","","","","","","","","","","","","",""
"2","Nffhiy       
Warakapola","","2025.03.25","1","6","","","","","1","","","","",""
"","","fallen/Lightning","","","","","","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"","Aranayake","","2025.03.25","2","7","","","","","2","","","","",""
"","Mavanella","","2025.03.25","2","5","","","","","2","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","42","167","0","0","0","0","53","0","0","0","0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","49","185","0","0","0","0","60","0","0","0","0","0"
"","Niyagama","Tree Fallen","2025.03.25","1","2","","","","","1","","","","",""
"දකුණු පලාත","","","","","","","","","","","","","","",""
"3","ගාල්ල/fhyp/Galle","","","","","","","","","","","","","",""
"njd; khfhzk;","Kadawathsathara","Fire","2025.03.26","1","5","","","","","1","","","","",""
"Southern","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","2","7","0","0","0","0","2","0","0","0","0","0"
"","Kalutara","Tree Fallen","","4","25","","","","","3","","","","",""
"","Ingiriya","Highwind","","13","46","","","","","10","","","","",""
"","Dodangoda","Highwind","","2","4","","","","","2","","","","",""
"","Mathugama","Highwind","","12","30","","","","","9","","","","",""
"","කළුතර","","","","","","","","","","","","","",""
