"","","Welikanda","","6880","24253","","","","","","","","","",""
"","","Dimbulagala","","2916","10389","","","","","","","","","",""
"","තපොත඼ොන්නරුල","Lankapura","","260","1160","","","","","","","","","",""
"12","nghyd;dWit","Hingurakgoda","Drought
2019.05.04","2552","8263","","","","","","","","","",""
"","Polonnaruwa","Thamankaduwa","","570","2006","","","","","","","","","",""
"","","Elahera","","105","420","","","","","","","","","",""
"","","Medirigiriya","","2792","11202","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","16075","57693","0","0","0","0","0","0","0","0","0","0"
"","","Palugaswewa","","589","1886","","","","","","","","","",""
"","","","2019.04.10","","","","","","","","","","","",""
"","","Padaviya","","1500","4872","","","","","","","","","",""
"උතුරුම෉ද ප඼෈ත","අනුර෈ධපුර","M.Nuwaragam Palatha","2019.05.06","297","1081","","","","","","","","","",""
"tlkj;jpa 
13","m.Guk;","Rambewa","2019.06.24","293","870","","","","","","","","","",""
"khfhzk","Anuradhapura","Thirappane","2019.07.05","905","3620","","","","","","","","","",""
"North Central","","Nachchduwa","2019.07.10","505","1494","","","","","","","","","",""
"","","Nochchiyagama","2019.06.20","1158","3507","","","","","","","","","",""
"","","","Drought","","","","","","","","","","","",""
"","","Kahatagasdigiliya","2019.06.20","191","1155","","","","","","","","","",""
"","","Horowpathana","","654","2616","","","","","","","","","",""
"","","Mahavilachchiya","","2240","6844","","","","","","","","","",""
"","","Kekirawa","","14","56","","","","","","","","","",""
"","","","2019.08.08","","","","","","","","","","","",""
"","","Rajanganaya","","58","232","","","","","","","","","",""
"","","Galenbidinuwewa","","315","1260","","","","","","","","","",""
"","","Kebithigollewa","","1742","6968","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","10461","36461","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","26536","94154","0","0","0","0","0","0","0","0","0","0"
"","","Thirukkovil","","5019","16606","","","","","","","","","",""
"","","Uhana","","381","1482","","","","","","","","","",""
"","","Dehiattakandiya","","690","2570","","","","","","","","","",""
"","","Potuvil","","1195","3738","","","","","","","","","",""
"","","Mahaoya","","1574","5994","","","","","","","","","",""
"","අම්ප෈ර","","2019.03.15","","","","","","","","","","","",""
"","","Ampara","","96","356","","","","","","","","","",""
"14","mk;ghiw","","Drought","","","","","","","","","","","",""
"","","Navithanveli","","2649","8329","","","","","","","","","",""
"","Ampara","","","","","","","","","","","","","",""
"","","Nayadivembu","","1238","3962","","","","","","","","","",""
"","","Akkaraipattu","","62","204","","","","","","","","","",""
"","","Padiyathalawa","","6463","20441","","","","","","","","","",""
"","","Damana","","531","2124","","","","","","","","","",""
"","","","2019.06.05","","","","","","","","","","","",""
"","","Lahugala","","155","528","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","20053","66334","0","0","0","0","0","0","0","0","0","0"
"","","Kinniya","","903","3330","","","","","","","","","",""
"","","","2019.04.08","","","","","","","","","","","",""
"","","Verugal","","171","545","","","","","","","","","",""
"","","Thambalagamuwa","2019.04.10","102","413","","","","","","","","","",""
"","","Kuchchaveli","2019.04.16","467","1561","","","","","","","","","",""
"","ත්‍රීකුණ෈ම඼ය","","","","","","","","","","","","","",""
"න෉තගනහිර ප඼෈ත","","Muthur","2019.04.22","459","1516","","","","","","","","","",""
"15","jp.kiy","","Drought","","","","","","","","","","","",""
"fpof;F","","Seruwela","2019.07.01","130","320","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","",""
"Eastern","","Town & gravets","2019.07.11","81","189","","","","","","","","","",""
"","","Pathavisripura","2019.07.29","64","195","","","","","","","","","",""
"","","Morawewa","2019.07.12","840","2413","","","","","","","","","",""
"","","Kanthale","2019.06.12","980","2668","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","4197","13150","0","0","0","0","0","0","0","0","0","0"
"","","Koralaipattu North","","2953","9402","","","","","","","","","",""
"","","Koralaipattu West","","125","432","","","","","","","","","",""
"","","Koralaipattu","","408","1253","","","","","","","","","",""
"","","Koralaipattu Central","","548","1916","","","","","","","","","",""
"","මඩක඼පුල","","","","","","","","","","","","","",""
"","","Koralaipattu South","","2783","9696","","","","","","","","","",""
"16","kl;lf;fsg;G","","Drought
2019.04.17","","","","","","","","","","","",""
"","","Eravur Pattu","","4776","16685","","","","","","","","","",""
"","Batticaloa","","","","","","","","","","","","","",""
"","","Manmunai West","","4183","14334","","","","","","","","","",""
"","","Manmunai South West","","3951","12267","","","","","","","","","",""
"","","Manmunai South & EP","","359","1098","","","","","","","","","",""
"","","Poratheevpattu","","5992","19552","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","26078","86635","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","50328","166119","0","0","0","0","0","0","0","0","0","0"
