"නගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","25","95","50","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","28","25","85","45","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","31","27","85","70","වැසි ස්වල්පයක්"
"ගාල්ල","30","26","90","75","වැසි ස්වල්පයක්"
"යාපනය","34","24","90","60","වැසි ස්වල්පයක්"
"මහනුවර","30","23","85","60","වැසි වාර කිහිපයක්"
"නුවරඑළිය","20","13","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","33","24","95","60","වැසි ස්වල්පයක්"
"ත්‍රිකුණාමලය","36","27","80","45","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","32","26","85","70","වැසි ස්වල්පයක්"
