"","","","","","FLk;gq;f","egHfs;"
"","","nra.gp    DS Division","","","",""
"","District","","","","s;",""
"","","","","","","People"
"","","","","","Families",""
"","","Delft","","2018.03.05","1031","3071"
"","","Velanai","","2018.04.03","2721","9508"
"","","Kaits","","2018.03.06","2147","7293"
"","","Kareinagur","","2018.03.04","3559","10658"
"","","Jaffna","","2018.03.12","40","178"
"","","Nallur","","2018.03.04","319","1101"
"","","Kopai","","","1775","6415"
"","","Chekanai","Drought","","1528","5114"
"","යාපනය","","","","",""
"","","Sandilipai","","","1635","6253"
"1","aho;g;ghzk;","","","","",""
"","","Uduvil","","","583","2288"
"","Jaffna","","","","",""
"","","Telippalay","","2018.03.12","1755","5644"
"","","Chawakachcheri","","","11640","47198"
"","","Karaweddi","","","674","2124"
"","","Point pedro","","","300","990"
"","","Maruthankerny","","","697","2308"
