"","Weather Forecast for Main Cities","","","Date :","2024-09-29"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","90","50","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","25","80","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","26","85","65","Showers or thundershowers after 2.00p.m"
"Galle","30","26","85","75","Showers or thundershowers after 2.00p.m"
"Jaffna","36","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Kandy","30","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","12","95","80","Showers or thundershowers after 2.00p.m"
"Ratnapura","31","24","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","24","95","50","Showers or thundershowers after 2.00p.m"
"Mannar","34","25","95","75","Showers or thundershowers after 2.00p.m"
