"","","","","","","","","","","KOik","sT","ன
்  சேதங் கள்","fl;likg;Gf;fs;","","","",""
"District","Division","","","Families","People","","","g","","","","","","f   No.","s;","","Persons"
"","","","","","","","People","","","Fully","Partiall","Small, Medium,","Damages to","","","",""
"","","","","","","","","People","","","","","","of Safety","Families","",""
"","","","","","","","","","","","y","Enterprises","critical","","","",""
"","","","","","","","","","","","","","","Locations","","",""
"","","","","","","","","","","","","Damages","Infrastructure","","","",""
"","","","2020.05.03","7","27","","","","","","7","","","","","",""
"","","Tree Fallen","","","","","","","","","","","","","","",""
"","Warakapola","","2020.05.10","2","8","","","","","","2","","","","","",""
"","","Lightning","2020.05.03","1","4","","","","","","1","","","","","",""
"","Dehiowita","Tree Fallen","2020.05.03","2","7","","","","","","2","","","","","",""
"","Galigamuwa","Tree Fallen","2020.05.03","5","22","","","","","1","4","","","","","",""
"","","Cutting Failure","2020.05.10","1","4","","","","","","1","","","","","",""
"කෑගල්ල","Mawanelle","","","","","","","","","","","","","","","",""
"1
Nffhiy","","Tree Fallen","2020.05.09","2","10","","","","","","2","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","","",""
"Kegalle
rg;ufKt","","","","","","","","","","","","","","","","",""
"","Yatiyantota","","2020.04.26","10","39","","","","","","10","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","",""
"","Bulathkohupitiya","High Wind","2020.04.20","2","7","","","","","","2","","","","","",""
"","Deraniyagala","","2020.05.05","7","29","","","","","","7","","","","","",""
"","","Tree Fallen","2020.04.23","1","6","","","","","","1","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","",""
"","","","2020.04.27","1","5","","","","","","1","","","","","",""
"","","Lightning","","","","","","","","","","","","","","",""
"","Ruwanwelle","","2020.05.10","1","4","","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","42","172","0","0","","0","1","41","0","0","0","","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","42","172","0","0","","0","1","41","0","0","0","","0","0"
"","Udapalatha","Tree Fallen","2020.05.02","1","5","","","","","","1","","","","","",""
"","","Cutting Failure","2020.05.10","2","8","","2","","","","1","","","","","",""
"","","High Wind","2020.05.03","2","12","","","","","","2","","","","","",""
"","Paathadumbara","Flood","","2","8","","","","","","2","","","","","",""
"","","","2020.05.09","","","","","","","","","","","","","",""
"මහනුවර","","","","","","","","","","","","","","","","",""
"","","High Wind","","1","5","","","","","","1","","","","","",""
"2
fz;b","","","","","","","","","","","","","","","","",""
"Kandy","Harispaththuwa","Heavy Rain","2020.05.05","1","3","","","","","","1","","","","","",""
"","","Heavy Rain","2020.05.05","1","7","","","","","","1","","","","","",""
"මධ්‍යම පලාත","Udunuwara","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","High Wind","2020.05.11","1","4","","","","","","1","","","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","Medadumbara","","2020.05.09","1","1","","","","","","1","","","","","",""
"","","High wind","","","","","","","","","","","","","","",""
"","Gangaihalakorale","","2020.05.11","1","4","","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","13","57","0","2","","0","0","12","0","0","0","","0","0"
"","","High Wind","2020.04.14","5","26","","","","","","5","","","1","","5","26 Venture Child Care Center"
"නුවරඑලිය","","","","","","","","","","","","","","","","",""
"","Ambagamuwa","","","","","","","","","","","","","","","",""
"3
Etnuypah","","Fire","2020.05.09","3","18","","","","","","3","","","","","",""
"Nuwara Eliya","","","","","","","","","","","","","","","","",""
"","Nuwaraeliya","Cutting Failure","2020.05.10","1","3","","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","9","47","0","0","","0","0","9","0","0","1","","5","26"
