"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2024-03-19",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","36","24","90","40","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","31","24","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","32","27","85","60","ප්‍රධාන වශයයන් වැසි රහිත"
"ගාල්ල","32","26","80","55","ප්‍රධාන වශයයන් වැසි රහිත"
"යාපනය","32","24","80","55","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","34","21","90","40","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","22","8","80","40","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","36","24","90","40","ප්‍රධාන වශයයන් වැසි රහිත"
"ිකුණාමලය","32","24","90","55","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","33","24","90","55","ප්‍රධාන වශයයන් වැසි රහිත"
