"","Weather Forecast for Main Cities","","","Date :","2024-09-22"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","50","Mainly fair"
"Batticaloa","37","25","80","40","Mainly fair"
"Colombo","31","29","80","60","Several spells of showers"
"Galle","31","27","85","75","Several spells of showers"
"Jaffna","35","28","80","55","Mainly fair"
"Kandy","29","21","95","60","A few showers"
"Nuwara-Eliya","18","13","90","75","A few showers"
"Ratnapura","31","24","95","65","Several spells of showers"
"Trincomalee","37","26","80","40","Mainly fair"
"Mannar","31","28","80","65","Mainly fair"
