"","","","","","","","Page 4","","","","",""
"","","","","","2019.11.30-","","","","","","",""
"","","","Katuwana","","","5","18","","","","","5"
"","","","","","2019.12.03","","","","","","",""
"","","හම්බන්මතොට","","","","","","","","","",""
"","","","Thissamaharamaya","","2019.11.29/30","14","62","","","","","2"
"දකුනු පලොත/njd;","17","`k;ghe;Njhl;ilH","","Heavy Rain","","","","","","","",""
"","","","Sooriyawewa","","2019.12.03","2","7","","","","","2"
"khfhzk;/","","ambantota","","","","","","","","","",""
"","","","Walasmulla","","2019.12.01","4","19","","","","","4"
"Southern/","","","","","","","","","","","",""
"","","","Thangalla","","2019.12.02","1","6","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","","","26","112","0","0","0","0","13"
