"","Weather Forecast for Main Cities","","","","2-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","85","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","27","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","29","27","90","85","Showers at times"
"Galle","28","26","95","85","Showers or thundershowers at times"
"Jaffna","33","27","95","75","Showers or thundershowers"
"Kandy","30","24","95","75","Showers or thundershowers at times"
"Nuwara-Eliya","22","14","95","80","Showers or thundershowers at times"
"Ratnapura","29","25","95","85","Showers or thundershowers at times"
"Trincomalee","34","26","90","65","Showers or thundershowers after 2.00p.m"
"Mannar","32","28","90","70","Showers or thundershowers after 2.00p.m"
