"","Weather Forecast for Main Cities","","","","16-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","30","22","90","60","Mainly fair"
"Batticaloa","30","24","80","75","Mainly fair"
"Colombo","33","23","85","55","Mainly fair"
"Galle","30","25","90","80","Mainly fair"
"Jaffna","30","24","85","60","Mainly fair"
"Kandy","30","18","90","60","Mainly fair"
"Nuwara-Eliya","19","7","85","50","Mainly fair"
"Ratnapura","31","21","95","60","Mainly fair"
"Trincomalee","30","24","75","60","Mainly fair"
"Mannar","30","24","85","65","Mainly fair"
