"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2024-01-16",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරෙ","30","22","90","60","ප්‍රධාන වශනෙේ වැසි රහිත"
"මඩකලපුව","30","24","80","75","ප්‍රධාන වශනෙේ වැසි රහිත"
"නකාළඹ","33","23","85","55","ප්‍රධාන වශනෙේ වැසි රහිත"
"ගාල්ල","30","25","90","80","ප්‍රධාන වශනෙේ වැසි රහිත"
"ොපනෙ","30","24","85","60","ප්‍රධාන වශනෙේ වැසි රහිත"
"මහනුවර","30","18","90","60","ප්‍රධාන වශනෙේ වැසි රහිත"
"නුවරඑළිෙ","19","7","85","50","ප්‍රධාන වශනෙේ වැසි රහිත"
"රත්තනපුරෙ","31","21","95","60","ප්‍රධාන වශනෙේ වැසි රහිත"
"ත්‍රිකුණාමලෙ","30","24","75","60","ප්‍රධාන වශනෙේ වැසි රහිත"
"මේනාරම","30","24","85","65","ප්‍රධාන වශනෙේ වැසි රහිත"
