"","","khtl;lk ;","","","","FLk;gq;f","","egHfs;","","Injured","Missin","","","","","","","","","FLk;gq;","egHfs;"
"","","","nra.gp    DS Division","","","","","","","","","","KOik","sT","Kaw;rpfs;","","fl;likg;Gf;fs;","if","","",""
"","","District","","","","s;","","People","","People","g","","","","","","","","","fs;","Persons"
"","","","","","","","","","","","","","","Partiall","Small, Medium,","","Damages to","Safety","","",""
"","","","","","","","","","","","","","Fully","","","","","","","",""
"","","","","","","Families","","","","","People","","","","","","","","","Families",""
"","","","","","","","","","","","","","","y","Enterprises","","critical","Location","","",""
"","","","","","","","","","","","","","","","Damages","","Infastructure","","","",""
"","","","","","","","","","","","","","","","","","","s","","",""
"","","","Bamunukotuwa","","2018.10.01","","1","4","","","","","","1","","","","","","",""
"","","","Narammala","","2018.10.01","","1","8","","","","","","1","","","","","","",""
"","","","Kuliyapitiya West","","2018.10.01","","7","26","","","","","","7","","","","","","",""
"","","කුරුණෑෙල","Panduwasnuwara East","","2018.09.28","","1","4","","","","","","1","","","","","","",""
"","1","FUdhfy;","Polpithigama","High Wind","","","23","77","","","","","1","22","","","","","","",""
"","","","","","2018.09.27","","","","","","","","","","","","","","","",""
"","","Kurunegala","Kurunegala","","","","6","23","","","","","","6","","1","","","","",""
"","","","Panduwasnuwara West","","2018.10.01","","11","31","","","","","","11","","2","","","","",""
"වයඹ","","","Maspotha","","2018.09.27","","58","247","","","","","","58","","","","","","",""
"පලාත/tlNk","","","Polgahawela","","2018.09.26","","2","4","1","","","","","1","","","","","","",""
"y;","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","","110","424","1","0","","0","1","108","","3","0","","0","0","0"
"khfhzk;/","","","Nawagaththegama","","","","126","550","","","","","","126","","","","","","",""
"","","","","","2018.10.01","","","","","","","","","","","","","","","",""
"North","","","Mahakumbukkadawala","","","","386","1328","","","","","","386","","68","","","","",""
"Western/","","","Pallama","High Wind","2018.10.01","","146","482","","","","","1","117","","28","","","","",""
"","","පුත්තලම","","","","","","","","","","","","","","","","","","",""
"","","","Karuwalagaswewa","","2018.10.01","","7","26","","","","","","7","","","","","","",""
"","2","Gj;jsk;","","","","","","","","","","","","","","","","","","",""
"","","","Anamaduwa","","","","200","825","","","","","","200","","23","","","","",""
"","","Puttalam","","","2018.09.30","","","","","","","","","","","","","","","",""
"","","","Anamaduwa","Lightning","","","3","12","","","","","","3","","","","","","",""
"","","","Arachchikattuwa","","","","1","4","","","","","","1","","","","","","",""
"","","","","High Wind","2018.10.01","","","","","","","","","","","","","","","",""
"","","","Chilaw","","","","1","5","","","","","","1","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","","870","3232","0","0","","0","1","841","","119","0","","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","","980","3656","1","0","","0","2","949","","122","0","","0","0","0"
"නැගෙනහිර","","මඩකලපුව","","","","","","","","","","","","","","","","","","",""
"පලාත/fpof;F","3","kl;lf;fsg;G","Eravur pattu","Lightning","20181.10.02","","1","4","","","","","","1","","","","","","",""
