"khtl;lk ;","","","FLk;gq;f","egHfs;","","","Injured","","Missin","","","","","","FLk;gq;","egHfs;"
"nra.gp    DS Division","","","","","","","","","","KOik","sT","Kaw;rpfs;","fl;likg;Gf;fs;","if","",""
"District","","","s;","People","","","People","","g","","","","","","fs;","Persons"
"","","","","","","","","","","","Partiall","Small, Medium,","Damages to","Safety","",""
"","","","","","","","","","","Fully","","","","","",""
"","","","Families","","","","","","People","","","","","","Families",""
"","","","","","","","","","","","y","Enterprises","critical","Location","",""
"","","","","","","","","","","","","Damages","Infastructure","","",""
"","","","","","","","","","","","","","","s","",""
"","Tree Fallen","2018.11.05","","","2","","3","","","","","","","","",""
"","Rock Fallen","","1","8","","","","","","","1","","","","",""
"","","2018.11.07","","","","","","","","","","","","","",""
"","Wind","","1","2","","","","","","","1","","","","",""
"Walapane","","","","","","","","","","","","","","","",""
"","Land Slide Risk","2018.11.08","4","15","","","","","","","4","","","","",""
"නුවරඑලිය","Cutting Failure","2018.11.08","5","21","","","","","","","5","","","","",""
"1
Etnuypah","","","","","","","","","","","","","","","",""
"","Rock Fallen","","6","34","","","","","","","6","","","","",""
"Hankuranketha
Nuwara Eliya","","2018.11.07","","","","","","","","","","","","","",""
"","","","2","9","","","","","","","2","","","","",""
"","Cutting Failure","","","","","","","","","","","","","","","Gonakele watta dalu"
"","","2018.11.08","9","27","","","","","","","8","","","1","3","9"
"","","","","","","","","","","","","","","","","kamaraya"
"Kotmale","Heavy Rain","2018.11.08","1","4","","","","","","","1","","","","",""
"Nuwara Eliya","Land Slide","2018.11.05","2","7","","","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","31","127","","2","","3","0","0","30","0","0","1","3","9"
"","","2018.11.05","8","39","","","","","","","6","","","","",""
"","Cutting Failure","","","","","","","","","","","","","","",""
"Akurana","","2018.11.08","2","8","","","","","","1","1","","","","",""
"","Tree Fallen","2018.11.08","1","4","","","","","","","1","","","","",""
"","","2018.11.06","10","38","","","","","","1","1","1","","1","10","38"
"Udapalatha","","","","","","","","","","","","","","","",""
"නුවර","Cutting Failure","2018.11.08","3","9","","","","","","","3","","","","",""
"2
fz;b      
Gangawata Korale","","2018.11.06","3","17","","","","1","","","1","1","","","",""
"Kandy
Medadumbara","Cutting Failure","2018.11.06","12","51","","","","","","","12","","","","",""
"Udunuwara","Flood","2018.11.09","1","4","","","","2","","","1","","","","",""
"Pathadumbara","Cutting Failure","2018.11.06","2","5","","","","","","","2","","","","",""
"","Rock Fallen","","1","4","","","","","","","1","","","","",""
"Galagedara","","2018.11.07","","","","","","","","","","","","","",""
"","Tree Fallen","","3","12","","","","","","","3","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","46","191","","0","","3","0","2","32","2","0","1","10","38"
"","Rock Fallen","2018.11.09","15","70","","","","","","","","","","1","15","70 Welangahawatta"
"Rattota","","","","","","","","","","","","","","","","Temple"
"","","","2","4","","","","","","","2","","","","",""
"මාතලේ","","","","","","","","","","","","","","","",""
"Matale","","","1","4","","","","","","","1","","","","",""
"3
khj;jis","","","","","","","","","","","","","","","",""
"Yatawatta","","","1","4","","","","","","","1","","","","",""
"Matale","Heavy Rain","2018.11.06 / 07","","","","","","","","","","","","","",""
"Laggala Pallegama","","","1","3","","","","","","","1","","","","",""
"Dambulla","","","3","10","","","","","","","2","","","","",""
"Galewela","","","1","4","","","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","24","99","","0","","0","0","0","8","0","0","1","15","70"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","101","417","","2","","6","0","2","70","2","0","3","28","117"
