"දිනය/කේලොව)","ස
්ථොනය","උපරිම සුළකේ කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලාං ො පැය)","(උතුරු අක්ොාංශ oN","",""
"","නැකගනහිර කේශොාංශ  oE)","",""
"08.06.23/1130","14.1/66.0","135-145 විටින් විට 160 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"08.06.23/1730","14.4/66.0","140-150 විටින් විට 165 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"08.06.23/2330","14.7/65.9","145-155 විටින් විට 170 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"09.06.23/0530","15.0/65.8","145-155 විටින් විට 170 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"09.06.23/1130","15.3/65.7","145-155 විටින් විට 170 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"09.06.23/2330","15.9/65.5","145-155 විටින් විට 170 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"10.06.23/1130","16.6/65.3","140-150 විටින් විට 165 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"10.06.23/2330","17.3/65.1","135-145 විටින් විට 160 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
