"","Weather Forecast for Main Cities","","","Date :","8-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","60","Mainly fair"
"Batticaloa","33","25","85","50","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","26","85","70","Several spells of showers"
"Galle","29","26","90","75","Several spells of light showers"
"Jaffna","34","27","90","60","Several spells of showers"
"Kandy","29","21","95","65","Several spells of showers"
"Nuwara-Eliya","18","14","95","80","Several spells of showers"
"Ratnapura","32","23","90","65","Several spells of showers"
"Trincomalee","33","25","85","55","Mainly fair"
"Mannar","31","27","85","75","Several spells of showers"
